wienerW1,wienerW2,apodizationRadius,hifiDenominatorScaleW1,hifiDenominatorScaleW2,score,expandedToCenterRms,sidebandMeanToCenterRms,sidebandMinToCenterRms,sidebandBalance,totalEnergyRatioToInput,p99GainRatioToInput
0.15,0.04,1.5,0.6,1.2,1.06967975140407,0.227966521720904,0.251966291016665,0.246465032344209,0.978166687892025,0.50500908046352,0.389899618475085
0.15,0.1,1,1.2,1.2,1.06959608104353,0.197081523280827,0.218971077434406,0.214356474470305,0.978925970415049,0.12706962341273,0.177742763285683
0.2,0.03,1.5,0.8,1.2,1.06957530976724,0.200975577623806,0.221776328227981,0.216866690928499,0.97786221217246,0.276641433385836,0.256821861714626
0.15,0.06,0.75,1.2,1.2,1.06946342214474,0.23735166951384,0.264305051322149,0.258899738161944,0.979548960062756,0.12969569219354,0.206734979945663
0.2,0.03,1.5,1,1,1.0690815765625,0.231819303343731,0.255950438776052,0.250315348573511,0.977983666566516,0.261348036506222,0.283184927545484
0.2,0.03,1.75,0.8,1,1.06889231067403,0.200304530790519,0.221032810709867,0.216137892386553,0.977854336161253,0.398260388056734,0.307663000637956
0.2,0.02,1,1,1,1.06867990643758,0.232135860869163,0.256258692131963,0.250608556417494,0.977951437793342,0.261343188749806,0.28372094093708
0.15,0.06,1.5,0.8,1.2,1.06838280008331,0.234601073551001,0.259769021408162,0.254166483652646,0.978432617849712,0.288053880532314,0.305777187016957
0.2,0.015,1.5,0.8,1,1.06797339366083,0.229514922385378,0.252315583028722,0.246553188625475,0.977161955935986,0.40245357808305,0.34778838730678
0.2,0.02,0.75,1.2,1.2,1.06796917731956,0.234712676910513,0.259759924412864,0.254156308082698,0.978427710345111,0.127271607403535,0.20085279323734
0.2,0.04,1.75,1.2,0.8,1.06766022009254,0.234405721531397,0.259204646980156,0.253560296947464,0.978224348604659,0.28627150577213,0.302603789511031
0.15,0.1,1.5,1,1.2,1.06745454291953,0.196744620797917,0.218043184000926,0.213338013021265,0.978420921519651,0.182091459041886,0.213118580798851
0.2,0.02,1,0.8,1.2,1.06732510931921,0.198874639802191,0.219445435258246,0.21458447539839,0.977848890526544,0.276420306736217,0.254114100856417
0.15,0.1,1.25,1.2,1,1.0666973852259,0.19570595723238,0.217103241579358,0.212456651155318,0.978597323604026,0.182545516924268,0.212679359042645
0.2,0.04,1,1,1.2,1.06666437651286,0.19619773629459,0.217362022799301,0.212707914216378,0.978588216455734,0.179101622776703,0.203921257099481
0.2,0.02,0.75,1,0.8,1.06551317545753,0.195103687981025,0.216266151618322,0.211661620110371,0.978708958967942,0.402928296869214,0.302639156836944
0.2,0.04,0.75,1.2,1.2,1.06511087162842,0.193602635372904,0.215205933252091,0.210735216819514,0.979225868148625,0.125373799011679,0.168658530742308
0.15,0.04,1.75,0.6,1.2,1.06500664595711,0.233028384622904,0.257429875729586,0.251785229327737,0.978073071799256,0.506015583666019,0.39787362346239
0.15,0.06,1.75,0.6,1.2,1.06489673839659,0.197525798312003,0.218543901562855,0.213788334189348,0.978239761716073,0.498805021368234,0.347568908087514
0.2,0.015,1.5,0.8,1.2,1.06446465640604,0.233065547088875,0.256070369822882,0.250195027070994,0.977055749339718,0.279847237346163,0.293653697658024
0.2,0.03,1.5,0.8,1,1.06403729567387,0.195941978289793,0.216328241618255,0.211557699788106,0.977947669733445,0.397658667993016,0.301741017548766
0.2,0.04,1.25,1,0.8,1.06393483695323,0.194602887061568,0.215447156634907,0.210796922847896,0.978415896224191,0.402591240718914,0.305232590138226
0.15,0.03,0.75,0.8,1.2,1.06376495289235,0.239998281796561,0.266301170876924,0.260693154670094,0.978941075668714,0.288969103073543,0.307966752977628
0.2,0.02,1,1,1.2,1.06346635776707,0.236808183894909,0.26125374446412,0.255462702504231,0.977833649918522,0.181809579234201,0.240870113693617
0.2,0.03,1.75,1,1,1.06342773445961,0.237014027210852,0.261551242400371,0.255768120959396,0.977889145591888,0.261887021870091,0.28868225798826
0.2,0.03,1,1.2,1,1.06321952287588,0.23892575828037,0.264416877926447,0.258715792198043,0.97843902487197,0.183609220563391,0.243996971615832
0.2,0.02,1,0.8,1,1.06299267307041,0.195174357394923,0.215486776313081,0.210736846282768,0.977957208736503,0.397558136158551,0.299904423396899
0.2,0.015,0.75,1.2,0.8,1.06279541208352,0.238923958240699,0.264260742583345,0.258529841737569,0.978313461205956,0.286818082148189,0.306263564869064
0.2,0.015,1.75,0.8,1,1.06277444951398,0.234794289865658,0.257983418041845,0.252066488563767,0.97706469073482,0.4032790908169,0.355118254030542
0.15,0.03,0.75,0.6,1.2,1.06276244116754,0.194408315139475,0.215761220203086,0.211218195506168,0.978944201869817,0.498979967067577,0.336401309729087
0.2,0.06,1.25,1.2,1,1.06249545404826,0.193256253516497,0.214174397192218,0.209576117732888,0.978530209401249,0.180197449877725,0.205732036929533
0.2,0.04,1.25,1.2,1.2,1.0624770005472,0.239271770958736,0.264686043046197,0.258953110927725,0.97834063310444,0.127515555159149,0.204281889038199
0.15,0.06,1.75,0.8,1.2,1.06217724691725,0.239727587248567,0.265312417829946,0.259565749606033,0.978339995274568,0.288655631963858,0.311942570754167
0.2,0.03,1.5,1,1.2,1.06211962473719,0.238123917581861,0.262767678480319,0.256957137970181,0.977887156655864,0.181943975309503,0.241417539982092
0.2,0.04,1.5,1.2,1,1.06147654564938,0.239848720967061,0.265223430632622,0.259455689392572,0.978253274130825,0.183649603226308,0.24628045874559
0.2,0.03,1.25,0.8,1.2,1.06108584129154,0.193740426357672,0.213972271421454,0.209268564950362,0.978017214848238,0.275953559090724,0.248592630798906
0.2,0.06,1.75,1.2,0.8,1.06086906003102,0.192727111072711,0.213343781001971,0.208708313024244,0.978272307934374,0.281269010726127,0.257573416772384
0.15,0.06,1.5,1,0.8,1.06034693750302,0.24176848314977,0.267888289652806,0.262133255752632,0.978517038174261,0.418506854843791,0.38023095127776
0.15,0.06,0.75,1,0.8,1.05994307198403,0.189766608434654,0.211432088513584,0.207105630158853,0.979537361688349,0.410381410834328,0.306477232774388
0.15,0.06,1.5,0.6,1.2,1.0594234415253,0.193337101371563,0.214014064287699,0.209376543993198,0.978330768541144,0.498073514252822,0.341129984039162
0.15,0.06,1,1.2,0.8,1.05843599582472,0.243575549721195,0.27053782593255,0.264855700073392,0.978996926438764,0.292200729606596,0.319943045991251
